flakkebjerg_id,vcf_name,accession_number,accession_name,data_code,flag,note,region,country,country_whole,yield,maturity_group,MG,seed_coat_colour
1,001A,NGB8029,Bråvalla,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
2,002A,NGB8028,Fiskeby V,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
3,003A,NGB8030,Träff,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
4,004A,NGB23804,Fiskeby III,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
5,005A,NGB23805,Fiskeby IV,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
6,006A,NGB23806,Altonagård,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Bl
7,007A,NGB23807,Ugra Soja,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br
12,012A,NGB8043,1268-39-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
13,013A,NGB8047,1274-26-3-1,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
14,014A,NGB8065,1286-10-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
15,015A,NGB8155,1312-17-3-5,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
16,016A,NGB8039,1220-498-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
17,017A,NGB8071,1289-4-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G/Y
18,018A,NGB8080,1290-28-15-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G/Y
19,019A,NGB8087,1296-10-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
20,020A,NGB8153,1312-17-3-1,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G/Y
21,021A,NGB8106,1311-6-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G/Y
22,022A,NGB8157,1312-17-3-8,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
23,023A,NGB8049,1274-26-17-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
24,024A,NGB8163,1312-22-8-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Bl
25,025A,NGB8161,1312-21-9-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Bl
26,026A,NGB8144,1311-6-6-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G/Y
27,027A,NGB8051,1278-11-1,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Bl/G
28,028A,NGB8129,1308-7-2-1,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
29,029A,NGB8061,1285-53-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
30,030A,NGB8059,1285-8-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
31,031A,NGB8033,1196-26-43,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
32,032A,NGB8083,1291-35-15,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
33,033A,NGB8159,1312-21-1-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G/Y
34,034A,NGB8181,1358 (Bråvalla x Mc Call),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
35,035A,NGB8115,Bråvalla-urval x Träff,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
36,036A,NGB8142,1311-6-3-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
37,037A,NGB8123,1308-1-3-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
38,038A,NGB8068,1287-3-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
39,039A,NGB8173,1352 (Träff x C 940-3-6),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
40,040A,NGB8056,1285-6-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
41,041A,NGB8113,1312-22,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Bl
42,042A,NGB8099,1308-5,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
43,043A,NGB8175,1344 ( Träff x Maple Arrow),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
44,044A,NGB8032,1177-3-1-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
45,045A,NGB8064,1285-55-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
46,046A,NGB8162,1312-21-9-10,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Bl
47,047A,NGB8073,1290-28-4-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
48,048A,NGB8094,1301-14,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
49,049A,NGB8079,1290-28-7-9,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
50,050A,NGB8091,1296-23-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
51,051A,NGB8164,1312-22-9-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Bl
52,052A,NGB8105,1310-13-8,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
53,053A,NGB8176,1345 ( Träff x Mc Call),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
54,054A,NGB8149,1312-17-1-1,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
55,055A,NGB8140,1311-3-2-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
56,056A,NGB8145,1312-13-6-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
57,057A,NGB8058,1285-8-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
58,058A,NGB8160,1312-21-1-5,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
59,059A,NGB8086,1296-3-8,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
60,060A,NGB8081,1290-28-16-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
61,061A,NGB8057,1285-6-10,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
62,062A,NGB8035,1209-46-5-10,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
63,063A,NGB8044,1268-39-9,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
65,065A,NGB8143,1311-6-6-1,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
66,066A,NGB8052,1278-17-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
67,067A,NGB8146,1312-13-8-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
68,068A,NGB8141,1311-6-3-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
69,069A,NGB8072,1290-28-4-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
70,070A,NGB8126,1308-1-8-5,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
71,071A,NGB8082,1291-35-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
72,072A,NGB8055,1282-59-13,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
73,073A,NGB8046,1269-34-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
74,074A,NGB8089,1296-14-1,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
75,075A,NGB8114,1312-24,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G/Y
76,076A,NGB8101,1308-7-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
77,077A,NGB8076,1290-28-6-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
78,078A,NGB8172,1342 (C 873-8-7 x Fiskeby V),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
79,079A,NGB8075,1290-28-6-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
80,080A,NGB8041,1262-29-11,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
81,081A,NGB8169,Fiskeby V x Gieso (population),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
82,082A,NGB8134,1310-1-6-5,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
83,083A,NGB8128,1308-5-8-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
84,084A,NGB8168,1312-24-5-1,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
85,085A,NGB8167,1312-24-1-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y/G
86,086A,NGB8090,1296-21-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
87,087A,NGB8074,1290-28-5-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
88,088A,NGB8066,1286-17-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
89,089A,NGB8063,1285-53-8,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
90,090A,NGB8050,1275-73-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y/G
91,091A,NGB8170,Fiskeby V x Kita musume (population),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
92,092A,NGB8067,1287-2-10,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
93,093A,NGB8078,1290-28-7-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
94,094A,NGB8139,1310-13-8-9,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
95,095A,NGB8132,1308-9-3-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
96,096A,NGB8131,1308-7-4-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
97,097A,NGB8137,1310-2-7-1,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y/Br
98,098A,NGB8111,1312-17-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Bl/G
99,099A,NGB8122,1308-1-3-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
100,100A,NGB8116,C 940-2-9 x 990 (population),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y/Br
101,101A,NGB8103,1308-23-9,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y/Br
102,102A,NGB8117,1296-31-5,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
103,103A,NGB8048,1274-26-17-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
104,104A,NGB8124,1308-1-4-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
105,105A,NGB8171,1341 (Fiskeby V x C 873-8-7),SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
106,106A,NGB8097,1308-1-7,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
107,107A,NGB8174,Ooyachi x Fiskeby V,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
108,108A,NGB8148,1312-16-6-4,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Bl
109,109A,NGB8121,1301-16-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
110,110A,NGB8102,1308-9-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
111,111A,NGB8038,1220-118-23,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G
112,112A,NGB8062,1285-53-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
113,113A,NGB8095,1307,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G/Y
114,114A,NGB8118,1297-20-2,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
115,115A,NGB8084,1292-7-8,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Y
116,116A,NGB8127,1308-5-2-6,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
117,117A,NGB8130,1308-7-4-1,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
118,118A,NGB8135,1310-2-3-5,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,G/Y
119,119A,NGB8077,1290-28-7-3,SBPA,NA,,WEU,Sw,Sweden,NA,NA,NA,Br/Y
